,species0,species1,species2
52.953,0.212456,0.246207,0.555527
53.0531,0.210263,0.245786,0.558264
53.1532,0.20806,0.24544,0.560932
53.2533,0.205849,0.245169,0.563529
53.3534,0.203634,0.244972,0.566052
53.4535,0.201416,0.244849,0.5685
53.5536,0.199198,0.244798,0.570871
53.6537,0.196982,0.24482,0.573165
53.7538,0.19477,0.244913,0.575379
53.8539,0.192564,0.245077,0.577513
53.954,0.190366,0.245312,0.579566
54.0541,0.188177,0.245616,0.581536
54.1542,0.186,0.245989,0.583422
54.2543,0.183836,0.246431,0.585224
54.3544,0.181686,0.24694,0.586941
54.4545,0.179553,0.247516,0.588572
54.5546,0.177438,0.248158,0.590116
54.6547,0.175342,0.248866,0.591573
54.7548,0.173266,0.249639,0.592943
54.8549,0.171211,0.250476,0.594224
54.955,0.169179,0.251377,0.595418
55.0551,0.167171,0.25234,0.596523
55.1552,0.165188,0.253365,0.59754
55.2553,0.16323,0.254452,0.598468
55.3554,0.161299,0.255599,0.599307
55.4555,0.159395,0.256806,0.600057
55.5556,0.157519,0.258073,0.600719
55.6557,0.155672,0.259397,0.601293
55.7558,0.153854,0.260779,0.601779
55.8559,0.152066,0.262218,0.602177
55.956,0.150309,0.263712,0.602487
56.0561,0.148582,0.265262,0.602711
56.1562,0.146887,0.266866,0.602848
56.2563,0.145223,0.268524,0.602899
56.3564,0.143592,0.270234,0.602865
56.4565,0.141993,0.271995,0.602746
56.5566,0.140426,0.273808,0.602543
56.6567,0.138892,0.27567,0.602256
56.7568,0.137391,0.277581,0.601888
56.8569,0.135924,0.27954,0.601437
56.957,0.134489,0.281545,0.600906
57.0571,0.133088,0.283597,0.600295
57.1572,0.13172,0.285694,0.599605
57.2573,0.130386,0.287834,0.598837
57.3574,0.129085,0.290017,0.597993
57.4575,0.127818,0.292242,0.597073
57.5576,0.126584,0.294507,0.596078
57.6577,0.125383,0.296811,0.59501
57.7578,0.124216,0.299154,0.59387
57.8579,0.123082,0.301533,0.592659
57.958,0.121981,0.303949,0.591378
58.0581,0.120914,0.306398,0.590029
58.1582,0.119879,0.308881,0.588613
58.2583,0.118877,0.311396,0.587131
58.3584,0.117908,0.313941,0.585585
58.4585,0.116971,0.316515,0.583977
58.5586,0.116067,0.319117,0.582307
58.6587,0.115195,0.321745,0.580577
58.7588,0.114355,0.324398,0.578789
58.8589,0.113547,0.327075,0.576945
58.959,0.112771,0.329774,0.575045
59.0591,0.112027,0.332493,0.573092
59.1592,0.111314,0.335231,0.571087
59.2593,0.110633,0.337986,0.569031
59.3594,0.109983,0.340757,0.566927
59.4595,0.109364,0.343542,0.564776
59.5596,0.108775,0.34634,0.56258
59.6597,0.108218,0.349149,0.56034
59.7598,0.107691,0.351967,0.558058
59.8599,0.107194,0.354792,0.555736
59.96,0.106728,0.357624,0.553376
60.0601,0.106292,0.36046,0.550979
60.1602,0.105886,0.363298,0.548548
60.2603,0.105509,0.366137,0.546083
60.3604,0.105163,0.368976,0.543587
60.4605,0.104846,0.371812,0.541061
60.5606,0.104559,0.374643,0.538508
60.6607,0.104301,0.377468,0.535929
60.7608,0.104073,0.380285,0.533326
60.8609,0.103873,0.383093,0.5307
60.961,0.103703,0.385889,0.528053
61.0611,0.103562,0.388672,0.525388
61.1612,0.10345,0.39144,0.522706
61.2613,0.103367,0.394192,0.520009
61.3614,0.103313,0.396925,0.517298
61.4615,0.103288,0.399637,0.514576
61.5616,0.103292,0.402328,0.511843
61.6617,0.103324,0.404995,0.509103
61.7618,0.103385,0.407636,0.506356
61.8619,0.103475,0.41025,0.503604
61.962,0.103593,0.412835,0.500849
62.0621,0.10374,0.41539,0.498093
62.1622,0.103916,0.417912,0.495337
62.2623,0.104121,0.4204,0.492584
62.3624,0.104354,0.422852,0.489834
62.4625,0.104616,0.425267,0.487089
62.5626,0.104906,0.427643,0.484351
62.6627,0.105226,0.429978,0.481622
62.7628,0.105574,0.432271,0.478903
62.8629,0.105951,0.43452,0.476195
62.963,0.106357,0.436724,0.473501
63.0631,0.106791,0.438881,0.470822
63.1632,0.107255,0.440989,0.468158
63.2633,0.107747,0.443048,0.465513
63.3634,0.108269,0.445055,0.462886
63.4635,0.108819,0.447009,0.46028
63.5636,0.109399,0.448909,0.457696
63.6637,0.110008,0.450754,0.455135
63.7638,0.110646,0.452541,0.452599
63.8639,0.111313,0.454271,0.450089
63.964,0.112009,0.45594,0.447607
64.0641,0.112735,0.457549,0.445153
64.1642,0.11349,0.459096,0.442729
64.2643,0.114274,0.460579,0.440336
64.3644,0.115087,0.461998,0.437975
64.4645,0.11593,0.463352,0.435648
64.5646,0.116802,0.464639,0.433355
64.6647,0.117704,0.465858,0.431099
64.7648,0.118634,0.467009,0.428879
64.8649,0.119594,0.46809,0.426697
64.965,0.120584,0.4691,0.424555
65.0651,0.121602,0.470039,0.422452
65.1652,0.122649,0.470906,0.420391
65.2653,0.123726,0.4717,0.418372
65.3654,0.124831,0.472419,0.416396
65.4655,0.125965,0.473065,0.414464
65.5656,0.127127,0.473635,0.412578
65.6657,0.128318,0.474129,0.410737
65.7658,0.129537,0.474547,0.408943
65.8659,0.130784,0.474887,0.407197
65.966,0.132059,0.475151,0.4055
66.0661,0.133361,0.475336,0.403852
66.1662,0.134691,0.475444,0.402254
66.2663,0.136047,0.475473,0.400707
66.3664,0.137429,0.475423,0.399212
66.4665,0.138837,0.475294,0.39777
66.5666,0.140271,0.475087,0.396381
66.6667,0.14173,0.4748,0.395046
66.7668,0.143214,0.474434,0.393765
66.8669,0.144721,0.47399,0.39254
66.967,0.146252,0.473466,0.391371
67.0671,0.147806,0.472863,0.390259
67.1672,0.149382,0.472182,0.389203
67.2673,0.150978,0.471423,0.388206
67.3674,0.152596,0.470586,0.387267
67.4675,0.154233,0.469672,0.386388
67.5676,0.155889,0.468681,0.385567
67.6677,0.157563,0.467614,0.384807
67.7678,0.159254,0.466471,0.384107
67.8679,0.160961,0.465254,0.383469
67.968,0.162682,0.463962,0.382891
68.0681,0.164417,0.462598,0.382376
68.1682,0.166165,0.461161,0.381923
68.2683,0.167924,0.459654,0.381533
68.3684,0.169693,0.458076,0.381205
68.4685,0.171471,0.45643,0.380941
68.5686,0.173256,0.454716,0.380741
68.6687,0.175047,0.452936,0.380605
68.7688,0.176842,0.451091,0.380533
68.8689,0.17864,0.449183,0.380525
68.969,0.180439,0.447213,0.380583
69.0691,0.182238,0.445183,0.380705
69.1692,0.184035,0.443095,0.380892
69.2693,0.185829,0.440951,0.381144
69.3694,0.187616,0.438751,0.381461
